code,city,country,lat,lon
ALG,ALGIER,ALGERIA,36.691,3.215
DJG,DJANET,ALGERIA,24.293,9.452
N/A,BOUFARIK,ALGERIA,36.546,2.876
N/A,TELERGMA,ALGERIA,36.109,6.364
N/A,REGGAN,ALGERIA,26.710,0.286
VVZ,ILLIZI,ALGERIA,26.573,8.484
N/A,AIN OUSSERA,ALGERIA,35.525,2.879
GSF,SETIF,ALGERIA,36.178,5.324
TMR,TAMANRASSET,ALGERIA,22.811,5.451
GJL,JIJEL,ALGERIA,36.795,5.873
N/A,MECHERIA,ALGERIA,33.536,-0.242
N/A,RELIZANE,ALGERIA,35.752,0.626
AAE,ANNABA,ALGERIA,36.822,7.809
CZL,CONSTANTINE,ALGERIA,36.277,6.624
TEE,TEBESSA,ALGERIA,35.431,8.121
HRM,TILREMPT,ALGERIA,32.930,3.312
TID,TIARET,ALGERIA,35.341,1.463
N/A,BOU SFER,ALGERIA,35.735,-0.805
TIN,TINDOUF,ALGERIA,27.700,-8.167
QAS,ECH-CHELIFF,ALGERIA,36.213,1.332
TAF,ORAN,ALGERIA,35.542,-0.532
TLM,TLEMCEN,ALGERIA,35.017,-1.450
ORN,ORAN,ALGERIA,35.624,-0.621
N/A,SIDI BEL ABBES,ALGERIA,35.172,-0.593
MUW,GHRISS,ALGERIA,35.208,0.147
AZR,ADRAR,ALGERIA,27.837,-0.186
BSK,BISKRA,ALGERIA,34.793,5.738
ELG,EL GOLEA,ALGERIA,30.571,2.859
GHA,GHARDAIA,ALGERIA,32.384,3.794
HME,HASSI-MESSAOUD,ALGERIA,31.673,6.140
INZ,IN SALAH,ALGERIA,27.251,2.512
TGR,TOUGGOURT,ALGERIA,33.068,6.089
LOO,LAGHOUAT,ALGERIA,33.764,2.927
TMX,TIMIMOUN,ALGERIA,29.237,0.276
OGX,OUARGLA,ALGERIA,31.917,5.413
IAM,ZARZAITINE,ALGERIA,28.051,9.643
COO,COTONOU,BENIN,6.357,2.384
PKO,PARAKOU,BENIN,9.357,2.609
OUA,OUAGADOUGOU,BURKINA FASO,12.353,-1.512
BOY,BOBO-DIOULASSO,BURKINA FASO,11.160,-4.331
ACC,ACCRA,GHANA,5.603,-0.168
TML,TAMALE,GHANA,9.563,-0.863
N/A,WA,GHANA,10.082,-2.507
NYI,SUNYANI,GHANA,7.362,-2.329
TKD,TAKORADI,GHANA,4.893,-1.775
ABJ,ABIDJAN,IVORY COAST,5.260,-3.926
BYK,BOUAKE,IVORY COAST,7.739,-5.074
DJO,DALOA,IVORY COAST,6.792,-6.473
HGO,KORHOGO,IVORY COAST,9.387,-5.556
MJC,MAN,IVORY COAST,7.272,-7.587
SPY,SAN PEDRO,IVORY COAST,4.747,-6.661
